iter	Passed	Remaining
845	125086	22769
846	125241	22623
847	125366	22471
848	125537	22327
849	125686	22179
850	125823	22030
851	125964	21881
852	126089	21729
853	126207	21576
854	126289	21417
855	126397	21263
856	126531	21113
857	126667	20963
858	126746	20804
859	126882	20655
860	127035	20508
861	127153	20356
862	127342	20215
863	127467	20064
864	127604	19915
865	127712	19761
866	127758	19598
867	127914	19452
868	128120	19313
869	128267	19166
870	128376	19013
871	128574	18873
872	128752	18730
873	128884	18580
874	128959	18422
875	129077	18271
876	129252	18127
877	129326	17970
878	129465	17821
879	129622	17675
880	129694	17518
881	129805	17366
882	129953	17219
883	130072	17068
884	130217	16920
885	130368	16774
886	130469	16621
887	130583	16470
888	130721	16321
889	130873	16175
890	131043	16031
891	131210	15886
892	131343	15737
893	131523	15594
894	131723	15453
895	131853	15304
896	131961	15152
897	132119	15006
898	132330	14866
899	132466	14718
900	132626	14572
901	132699	14417
902	132867	14272
903	133040	14128
904	133157	13977
905	133290	13829
906	133412	13679
907	133587	13535
908	133736	13388
909	133883	13241
910	133954	13086
911	134084	12937
912	134196	12787
913	134385	12644
914	134514	12495
915	134632	12346
916	134772	12198
917	134874	12047
918	135041	11902
919	135189	11755
920	135337	11608
921	135494	11462
922	135590	11311
923	135682	11160
924	135835	11013
925	135958	10864
926	136095	10717
927	136268	10572
928	136423	10426
929	136567	10279
930	136734	10133
931	136853	9985
932	137008	9838
933	137242	9698
934	137397	9551
935	137569	9406
936	137729	9260
937	137955	9118
938	138121	8972
939	138262	8825
940	138427	8679
941	138502	8527
942	138658	8381
943	138776	8232
944	138916	8085
945	139057	7937
946	139164	7788
947	139363	7644
948	139515	7497
949	139633	7349
950	139806	7203
951	139994	7058
952	140162	6912
953	140300	6765
954	140472	6619
955	140624	6472
956	140791	6326
957	140946	6179
958	141117	6033
959	141217	5884
960	141369	5737
961	141460	5587
962	141612	5440
963	141737	5293
964	141845	5144
965	141965	4996
966	142100	4849
967	142258	4702
968	142397	4555
969	142566	4409
970	142737	4263
971	142904	4116
972	143041	3969
973	143159	3821
974	143315	3674
975	143425	3526
976	143607	3380
977	143753	3233
978	143915	3087
979	144029	2939
980	144153	2791
981	144295	2644
982	144400	2497
983	144584	2350
984	144787	2204
985	144941	2057
986	145128	1911
987	145308	1764
988	145430	1617
989	145552	1470
990	145717	1323
991	145875	1176
992	145979	1029
993	146095	881
994	146239	734
995	146376	587
996	146515	440
997	146655	293
998	146778	146
999	146945	0
